Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,446.006250,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
2,,446.018750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
3,,446.031250,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
4,,446.043750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
5,,446.056250,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
6,,446.068750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
7,,446.081250,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
8,,446.093750,,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
9,,446.106250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
10,,446.118750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
11,,446.131250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
12,,446.143750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
13,,446.156250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
14,,446.168750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
15,,446.181250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
16,,446.193750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
